Q2	Q3504248
Q15	Q5107
Q16	Q6256 Q202686 Q223832 Q3624078
Q17	Q6256 Q112099 Q3624078
Q18	Q5107 Q855697
Q20	Q6256 Q41614 Q3624078
Q21	Q3336843 Q518261 Q6256 Q6266
Q22	Q3336843 Q6256 Q6266
Q25	Q3336843 Q6256 Q6266
Q26	Q3336843 Q26934845 Q1151616
Q27	Q6256 Q112099 Q3624078
Q28	Q6256 Q123480 Q3624078
Q29	Q20181813 Q3624078 Q1250464 Q51576574 Q6256 Q185441
Q30	Q43702 Q3624078 Q1489259 Q1520223 Q6256 Q5255892
Q31	Q6256 Q43702 Q20181813 Q3624078
Q32	Q3624078 Q165116 Q123480 Q6256 Q179164
Q33	Q6256 Q179164 Q3624078
Q34	Q6256 Q179164 Q3624078
Q35	Q20181813 Q7275 Q3624078 Q66724388 Q6256
Q36	Q6256 Q3624078
Q37	Q6256 Q179164 Q3624078
Q38	Q619610 Q3624078 Q7270 Q51576574 Q6256 Q179164
Q39	Q170156 Q43702 Q3624078 Q123480 Q687554 Q206696 Q6256
Q40	Q7275 Q3624078 Q123480 Q7270 Q4209223 Q6256
Q41	Q3624078 Q7270 Q51576574 Q6256 Q185441 Q179164
Q42	Q5
Q43	Q6256 Q1323642 Q51576574 Q3624078
Q44	
Q45	Q20181813 Q6256 Q3624078
Q46	Q851990 Q82794 Q5107 Q2418896
Q48	Q5107 Q2418896
Q49	Q5107 Q855697
Q51	Q82794 Q5107
Q52	Q14827288 Q615699 Q1293664 Q15633582
Q55	Q6256 Q15304003
Q58	
Q60	Q208511 Q515 Q1637706 Q1093829 Q1549591 Q51929311 Q2264924
Q61	Q1093829 Q5119 Q1549591 Q475050
Q62	Q3559093 Q515 Q1093829 Q1549591 Q3301053
Q64	Q42744322 Q5119 Q200250 Q257391 Q85636059 Q1221156 Q15974307 Q515 Q1307779 Q67123843 Q1637706 Q1901835 Q707813
Q65	Q13218391 Q62049 Q1637706 Q1093829 Q1549591
Q66	Q891723 Q6881511 Q936518 Q4830453
Q67	Q936518 Q6881511 Q4830453
Q68	
Q70	Q5119 Q14770218 Q1187811 Q70208 Q56061 Q54935504 Q1549591 Q537250
Q71	Q14770218 Q1549591 Q1187811 Q54935504
Q75	Q11224256 Q1301371
Q76	Q5
Q77	Q6256 Q3624078 Q859563
Q78	Q14770218 Q1187811 Q70208 Q902814 Q54935504 Q1549591
Q79	Q6256 Q1323642 Q51576574 Q3624078
Q82	
Q84	Q5119 Q200250 Q56061 Q515 Q1637706 Q1066984
Q85	Q5119 Q515 Q1907114 Q1549591 Q1637706
Q86	
Q87	Q1637706 Q1549591 Q15284 Q2264924
Q88	Q1266818
Q89	
Q90	Q5119 Q6465 Q208511 Q515 Q1637706 Q1549591 Q866196 Q22927616
Q95	Q6881511 Q4830453
Q96	Q6256 Q3624078
Q99	Q35657
Q100	Q1093829 Q1549591 Q21518270
Q107	Q33104303 Q21550639
Q111	Q3504248 Q844911
Q112	Q41863069 Q11688446
Q114	Q6256 Q3624078
Q115	Q6256 Q123480 Q3624078
Q117	Q6256 Q3624078
Q142	Q6256 Q20181813 Q51576574 Q3624078
Q144	Q55983715
Q145	Q20181813 Q3624078 Q112099 Q202686 Q6256
Q148	Q3624078 Q1520223 Q842112 Q859563 Q6256
Q150	Q34770 Q33742 Q1288568
Q152	Q55983715 Q16521 Q208755 Q2612572
Q153	Q11173 Q11685431 Q12140 Q21009055
Q154	Q24700923 Q187661
Q155	Q6256 Q4209223 Q3624078 Q859563
Q156	Q47154513
Q159	Q619610 Q3624078 Q185145 Q1323642 Q4209223 Q6256 Q859563
Q163	Q1138494 Q67376938 Q3502482
Q165	
Q172	Q14762300 Q21507383 Q515 Q1637706 Q1549591
Q173	Q35657
Q176	Q11828004 Q3750285
Q177	Q19861951
Q183	Q619610 Q43702 Q3624078 Q7270 Q56061 Q4209223 Q6256
Q184	Q619610 Q3624078 Q123480 Q7270 Q6256 Q179164
Q185	Q5
Q188	Q34770 Q1288568
Q189	Q6256 Q112099 Q3624078
Q190	
Q191	Q6256 Q7270 Q179164 Q3624078
Q192	Q5
Q193	Q30014 Q121750
Q195	
Q206	Q5
Q211	Q6256 Q7270 Q3624078
Q212	Q619610 Q3624078 Q7270 Q4209223 Q6256 Q179164
Q213	Q6256 Q123480 Q3624078
Q214	Q6256 Q7270 Q123480 Q3624078
Q215	Q6256 Q51576574 Q3624078
Q216	Q5119 Q1549591 Q515
Q217	Q6256 Q179164 Q123480 Q3624078
Q218	Q6256 Q3624078
Q219	Q6256 Q179164 Q3624078
Q220	Q902814 Q515 Q747074 Q1637706 Q1549591
Q221	Q6256 Q123480 Q3624078
Q222	Q3624078 Q7270 Q51576574 Q6256 Q179164
Q223	Q66724388 Q192611 Q23442
Q224	Q6256 Q51576574 Q179164 Q3624078
Q225	Q6256 Q1520223 Q51576574 Q3624078
Q226	Q5119 Q515
Q227	Q6256 Q56061 Q123480 Q3624078
Q228	Q6256 Q208500 Q123480 Q3624078
Q229	Q7275 Q3624078 Q112099 Q11396118 Q51576574 Q6256
Q230	Q3624078 Q7270 Q4209223 Q6256 Q179164
Q231	Q83057
Q232	Q3624078 Q123480 Q1323642 Q6256 Q179164
Q233	Q3624078 Q112099 Q51576574 Q6256 Q179164
Q234	Q89934 Q83057
Q235	Q3624078 Q208500 Q133442 Q51576574 Q6256 Q179164
Q236	Q6256 Q51576574 Q3624078
Q237	Q3624078 Q123480 Q133442 Q515 Q6256 Q570116 Q171441
Q238	Q3624078 Q123480 Q244381 Q6256 Q171441
Q239	Q5119 Q15273785 Q515 Q1549591 Q493522
Q240	Q83057
Q241	Q3624078 Q112099 Q849866 Q6256 Q179164
Q242	Q6256 Q202686 Q3624078
Q243	Q570116 Q1440476 Q1440300 Q2319498
Q244	Q6256 Q112099 Q202686 Q3624078
Q248	Q6881511 Q4830453
Q250	
Q252	Q3624078 Q112099 Q1520223 Q49892 Q6256 Q13107770
Q254	Q5 Q205178
Q256	Q34770 Q1288568
Q258	Q6256 Q3624078
Q262	Q6256 Q51576574 Q3624078
Q265	Q6256 Q123480 Q3624078
Q269	Q5119 Q7631083 Q10864048 Q515 Q1637706
Q270	Q5119 Q925381 Q515 Q1637706 Q1549591 Q1901835
Q272	Q5
Q276	Q15275719 Q868557 Q15900616 Q841654
Q282	
Q286	
Q287	
Q288	Q1549591 Q484170
Q289	Q121359 Q11033 Q268592
Q290	
Q291	Q483394
Q294	Q34770 Q1288568
Q298	Q6256 Q3624078
Q302	Q4271324 Q18563360 Q178885 Q20643955 Q21070568 Q15773347
Q303	Q5 Q159979
Q307	Q5
Q309	Q11862829
Q312	Q891723 Q6881511 Q4830453
Q313	Q3504248 Q3901935
Q315	Q20829075 Q28923954
Q318	Q17444909
Q319	Q30014 Q121750
Q322	Q532
Q327	Q1620908 Q3502482
Q332	Q30014 Q1319599
Q333	Q11862829 Q2465832
Q334	Q3624078 Q112099 Q133442 Q515 Q1637706 Q6256 Q1549591 Q2264924
Q336	Q11862829
Q338	Q11862829 Q2465832
Q340	Q1637706 Q27676416 Q200250
Q347	Q3624078 Q26879769 Q208500 Q123480 Q244381 Q6256 Q179164
Q350	Q1549591 Q1357964 Q1187811 Q515
Q351	Q570116 Q34918903
Q352	Q5774265 Q5
Q361	Q13418847 Q103495
Q362	Q103495
Q365	Q42744322 Q200250 Q22865 Q2202509 Q85635630 Q1637706 Q1549591 Q707813
Q368	Q5
Q375	
Q376	
Q384	Q5119 Q1549591 Q56061 Q515
Q385	Q1549591 Q515 Q925381
Q388	Q16887380
Q392	Q5
Q395	Q4671286 Q11862829 Q41511
Q396	Q5741069
Q397	Q436240 Q34770 Q45762
Q398	Q6256 Q112099 Q3624078
Q399	Q6256 Q123480 Q3624078
Q403	Q6256 Q7270 Q123480 Q3624078
Q405	Q2537
Q406	Q5119 Q174844 Q1200957 Q27554677 Q2716259 Q1637706 Q1549591 Q51929311 Q2264924
Q408	Q43702 Q223832 Q3624078 Q202686 Q6256
Q413	Q11862829 Q2465832
Q414	Q6256 Q3624078
Q419	Q6256 Q3624078
Q420	Q11862829 Q2465832
Q423	Q6256 Q3624078
Q424	Q6256 Q3624078
Q428	Q179461 Q47461344
Q431	Q4671286 Q11862829 Q28598684
Q432	Q9174 Q6957341
Q435	Q1438040 Q19860854
Q437	Q5119 Q1549591 Q515
Q440	Q5
Q456	Q1549591 Q484170
Q457	Q484170
Q458	Q3623811 Q1335818 Q170156 Q7210356 Q1048835 Q4120211
Q459	Q1549591 Q50330360 Q515 Q486972
Q461	Q163740 Q212805 Q35127 Q166118 Q30047053
Q472	Q5119 Q200250 Q515 Q1637706 Q1549591 Q1901835
Q482	Q223393
Q490	Q956214 Q515 Q747074 Q1637706 Q1549591
Q492	Q2996394
Q495	Q1549591 Q515 Q747074
Q503	
Q506	
Q514	Q28598684
Q515	
Q517	Q5
Q521	Q11862829 Q28598684
Q525	Q3592493 Q5864
Q529	Q5
Q532	Q48907157
Q538	Q944816 Q5107
Q543	
Q544	Q206717
Q548	Q4022
Q556	Q11344
Q557	Q5
Q563	Q5
Q567	Q5
Q574	Q6256 Q112099 Q3624078
Q582	Q1549591 Q484170
Q583	Q8502
Q584	Q573344
Q585	Q5119 Q755707 Q1306755 Q515 Q1549591 Q192299
Q586	Q42744322 Q1187811 Q1180262 Q85635630 Q515 Q253030 Q1549591 Q1901835 Q537250
Q588	Q1549591 Q515 Q925381
Q592	Q17888
Q595	Q11424
Q597	Q5119 Q15647906 Q13217644 Q1549591
Q600	Q5
Q607	Q5
Q612	Q1637706 Q1549591 Q56061 Q515
Q613	Q19833031
Q615	Q5
Q619	Q5
Q623	Q11344
Q627	Q11344
Q629	Q11344 Q19600
Q633	Q5
Q634	Q17444909
Q636	Q5
Q638	Q1047113 Q56055944
Q641	Q5119 Q581830 Q515 Q747074 Q1549591 Q2264924
Q645	Q4022
Q648	Q484170 Q1549591
Q649	Q5119 Q1549591 Q174844 Q183342 Q7930989 Q1637706 Q4442912 Q51929311 Q50330360
Q652	Q34770 Q661936 Q1288568
Q656	Q4442912 Q27554677 Q7930989 Q1637706 Q1549591 Q50330360 Q51929311 Q183342
Q657	Q6256 Q123480 Q3624078
Q658	Q11344 Q2512777
Q663	Q11344 Q214609
Q664	Q3624078 Q223832 Q112099 Q202686 Q1351282 Q6256
Q668	Q6256 Q7270 Q223832 Q3624078
Q670	Q11344 Q21073023
Q671	Q11344
Q672	Q6256 Q112099 Q202686 Q3624078
Q677	Q11344 Q11426
Q678	Q6256 Q112099 Q918240 Q3624078
Q682	Q11344
Q683	Q6256 Q112099 Q3624078
Q685	Q6256 Q112099 Q202686 Q3624078
Q686	Q6256 Q112099 Q3624078
Q691	Q3624078 Q112099 Q202686 Q6256 Q13107770
Q694	Q134390
Q695	Q6256 Q112099 Q3624078
Q697	Q6256 Q112099 Q3624078
Q701	Q134390
Q702	Q6256 Q112099 Q3624078
Q703	Q11344
Q706	Q11344 Q35456
Q708	Q11344 Q2512777
Q709	Q6256 Q112099 Q3624078
Q710	Q6256 Q112099 Q3624078
