Q15	Q5107
Q16	Q6256 Q202686 Q223832 Q3624078
Q17	Q6256 Q112099 Q3624078
Q18	Q5107 Q855697
Q20	Q41614 Q6256 Q3624078
Q21	Q3336843 Q6256 Q518261 Q6266
Q22	Q3336843 Q6256 Q6266
Q23	Q5
Q25	Q3336843 Q6256 Q6266
Q26	Q26934845 Q3336843 Q1151616
Q27	Q6256 Q112099 Q3624078
Q28	Q123480 Q3624078 Q6256
Q29	Q185441 Q51576574 Q1250464 Q20181813 Q6256 Q3624078
Q30	Q1489259 Q1520223 Q43702 Q6256 Q3624078 Q5255892
Q31	Q43702 Q20181813 Q3624078 Q6256
Q32	Q179164 Q6256 Q165116 Q123480 Q3624078
Q33	Q179164 Q3624078 Q6256
Q34	Q179164 Q3624078 Q6256
Q35	Q66724388 Q20181813 Q6256 Q3624078 Q7275
Q36	Q6256 Q3624078
Q37	Q179164 Q3624078 Q6256
Q38	Q179164 Q51576574 Q7270 Q619610 Q6256 Q3624078
Q39	Q43702 Q6256 Q123480 Q206696 Q170156 Q3624078 Q687554
Q40	Q4209223 Q7270 Q6256 Q123480 Q3624078 Q7275
Q41	Q185441 Q179164 Q51576574 Q7270 Q6256 Q3624078
Q42	Q5
Q43	Q1323642 Q51576574 Q3624078 Q6256
Q44	
Q45	Q6256 Q20181813 Q3624078
Q46	Q5107 Q2418896 Q82794 Q851990
Q48	Q5107 Q2418896
Q49	Q5107 Q855697
Q51	Q5107 Q82794
Q55	Q15304003 Q6256
Q60	Q1093829 Q51929311 Q1549591 Q515 Q208511 Q2264924 Q1637706
Q61	Q1549591 Q1093829 Q475050 Q5119
Q62	Q1093829 Q3559093 Q1549591 Q515 Q3301053
Q64	Q257391 Q1221156 Q15974307 Q42744322 Q67123843 Q515 Q85636059 Q1901835 Q707813 Q1637706 Q1307779 Q5119 Q200250
Q65	Q1093829 Q13218391 Q1549591 Q62049 Q1637706
Q66	Q936518 Q4830453 Q891723 Q6881511
Q67	Q4830453 Q936518 Q6881511
Q68	
Q70	Q70208 Q1187811 Q56061 Q1549591 Q14770218 Q537250 Q54935504 Q5119
Q71	Q14770218 Q1187811 Q54935504 Q1549591
Q76	Q5
Q77	Q859563 Q6256 Q3624078
Q78	Q70208 Q902814 Q1187811 Q1549591 Q14770218 Q54935504
Q79	Q6256 Q1323642 Q51576574 Q3624078
Q80	Q5
Q84	Q56061 Q1066984 Q515 Q1637706 Q5119 Q200250
Q85	Q1549591 Q515 Q1907114 Q1637706 Q5119
Q87	Q2264924 Q1637706 Q15284 Q1549591
Q89	
Q90	Q6465 Q22927616 Q1549591 Q208511 Q515 Q866196 Q1637706 Q5119
Q91	Q5
Q95	Q4830453 Q6881511
Q96	Q3624078 Q6256
Q97	Q9430
Q99	Q35657
Q100	Q21518270 Q1093829 Q1549591
Q114	Q3624078 Q6256
Q115	Q123480 Q6256 Q3624078
Q117	Q3624078 Q6256
Q142	Q20181813 Q3624078 Q51576574 Q6256
Q143	Q838296 Q470775 Q1790577 Q33215 Q171263
Q145	Q20181813 Q112099 Q6256 Q202686 Q3624078
Q146	Q55983715
Q148	Q1520223 Q859563 Q6256 Q3624078 Q842112
Q150	Q1288568 Q33742 Q34770
Q152	Q208755 Q55983715 Q2612572 Q16521
Q153	Q11685431 Q11173 Q21009055 Q12140
Q155	Q859563 Q4209223 Q6256 Q3624078
Q156	Q47154513
Q159	Q859563 Q4209223 Q619610 Q6256 Q185145 Q1323642 Q3624078
Q163	Q3502482 Q1138494 Q67376938
Q166	Q165 Q986177
Q170	Q1194093 Q163740 Q7210356
Q172	Q14762300 Q1549591 Q515 Q21507383 Q1637706
Q173	Q35657
Q175	Q485258
Q176	Q3750285 Q11828004
Q177	Q19861951
Q178	
Q180	Q708676 Q163740 Q157031
Q183	Q4209223 Q43702 Q619610 Q7270 Q56061 Q6256 Q3624078
Q184	Q179164 Q7270 Q619610 Q6256 Q123480 Q3624078
Q188	Q1288568 Q34770
Q189	Q6256 Q112099 Q3624078
Q191	Q179164 Q6256 Q7270 Q3624078
Q193	Q30014 Q121750
Q195	
Q196	
Q211	Q7270 Q3624078 Q6256
Q212	Q179164 Q7270 Q619610 Q4209223 Q6256 Q3624078
Q213	Q123480 Q3624078 Q6256
Q214	Q123480 Q3624078 Q7270 Q6256
Q215	Q3624078 Q51576574 Q6256
Q216	Q515 Q5119 Q1549591
Q217	Q123480 Q179164 Q6256 Q3624078
Q218	Q3624078 Q6256
Q219	Q179164 Q3624078 Q6256
Q220	Q902814 Q747074 Q1549591 Q515 Q1637706
Q221	Q123480 Q3624078 Q6256
Q222	Q179164 Q51576574 Q7270 Q6256 Q3624078
Q223	Q23442 Q66724388 Q192611
Q224	Q179164 Q6256 Q51576574 Q3624078
Q225	Q6256 Q51576574 Q1520223 Q3624078
Q226	Q515 Q5119
Q227	Q123480 Q6256 Q56061 Q3624078
Q228	Q123480 Q208500 Q3624078 Q6256
Q229	Q51576574 Q11396118 Q112099 Q6256 Q3624078 Q7275
Q230	Q179164 Q7270 Q4209223 Q6256 Q3624078
Q232	Q179164 Q6256 Q123480 Q1323642 Q3624078
Q233	Q179164 Q51576574 Q112099 Q6256 Q3624078
Q234	Q89934 Q83057
Q235	Q208500 Q179164 Q133442 Q51576574 Q6256 Q3624078
Q236	Q6256 Q51576574 Q3624078
Q237	Q133442 Q171441 Q6256 Q515 Q123480 Q3624078 Q570116
Q238	Q244381 Q6256 Q171441 Q123480 Q3624078
Q239	Q15273785 Q1549591 Q515 Q493522 Q5119
Q240	Q83057
Q241	Q179164 Q112099 Q6256 Q849866 Q3624078
Q242	Q202686 Q3624078 Q6256
Q243	Q2319498 Q1440300 Q570116 Q1440476
Q244	Q6256 Q202686 Q112099 Q3624078
Q248	Q4830453 Q6881511
Q250	
Q252	Q13107770 Q1520223 Q112099 Q6256 Q49892 Q3624078
Q255	Q5
Q256	Q1288568 Q34770
Q258	Q6256 Q3624078
Q262	Q6256 Q51576574 Q3624078
Q265	Q123480 Q3624078 Q6256
Q269	Q7631083 Q10864048 Q515 Q1637706 Q5119
Q270	Q1549591 Q515 Q1901835 Q925381 Q1637706 Q5119
Q272	Q5
Q276	Q841654 Q15900616 Q15275719 Q868557
Q279	Q515 Q747074 Q1549591
Q282	
Q288	Q484170 Q1549591
Q289	Q121359 Q11033 Q268592
Q291	Q483394
Q294	Q1288568 Q34770
Q298	Q6256 Q3624078
Q302	Q20643955 Q178885 Q18563360 Q15773347 Q21070568 Q4271324
Q303	Q159979 Q5
Q307	Q5
Q309	Q11862829
Q312	Q4830453 Q891723 Q6881511
Q313	Q3901935 Q3504248
Q321	Q2490
Q329	Q5
Q331	Q5
Q333	Q2465832 Q11862829
Q334	Q133442 Q112099 Q6256 Q1549591 Q515 Q3624078 Q2264924 Q1637706
Q336	Q11862829
Q338	Q2465832 Q11862829
Q339	Q634 Q131731 Q2199 Q6599 Q6592
Q340	Q27676416 Q1637706 Q200250
Q341	
Q347	Q208500 Q179164 Q26879769 Q244381 Q6256 Q123480 Q3624078
Q350	Q1357964 Q515 Q1187811 Q1549591
Q352	Q5774265 Q5
Q355	Q28454366 Q3220391
Q357	Q683992
Q361	Q13418847 Q103495
Q362	Q103495
Q365	Q42744322 Q1549591 Q22865 Q85635630 Q2202509 Q707813 Q1637706 Q200250
Q384	Q515 Q5119 Q56061 Q1549591
Q385	Q515 Q925381 Q1549591
Q388	Q16887380
Q393	Q902814 Q1549591 Q515 Q925381 Q707813
Q395	Q4671286 Q41511 Q11862829
Q396	Q5741069
Q397	Q436240 Q45762 Q34770
Q398	Q112099 Q3624078 Q6256
Q399	Q123480 Q6256 Q3624078
Q403	Q123480 Q7270 Q6256 Q3624078
Q405	Q2537
Q406	Q174844 Q2716259 Q51929311 Q27554677 Q1549591 Q1200957 Q2264924 Q1637706 Q5119
Q408	Q43702 Q223832 Q6256 Q202686 Q3624078
Q409	Q5
Q413	Q2465832 Q11862829
Q414	Q3624078 Q6256
Q419	Q6256 Q3624078
Q420	Q2465832 Q11862829
Q423	Q3624078 Q6256
Q424	Q3624078 Q6256
Q429	Q3558970
Q431	Q4671286 Q28598684 Q11862829
Q432	Q6957341 Q9174
Q435	Q19860854 Q1438040
Q437	Q515 Q5119 Q1549591
Q440	Q5
Q441	Q4671286 Q28598684 Q11862829
Q456	Q484170 Q1549591
Q457	Q484170
Q458	Q7210356 Q3623811 Q4120211 Q1335818 Q1048835 Q170156
Q459	Q486972 Q515 Q1549591 Q50330360
Q472	Q1549591 Q515 Q1901835 Q1637706 Q5119 Q200250
Q490	Q956214 Q747074 Q1549591 Q515 Q1637706
Q495	Q515 Q747074 Q1549591
Q511	Q207694
Q513	Q8502 Q570116
Q514	Q28598684
Q521	Q28598684 Q11862829
Q532	Q48907157
Q535	Q5
Q538	Q5107 Q944816
Q539	Q5
Q541	Q747074
Q543	
Q544	Q206717
Q545	Q986177 Q204894
